	subject	activity	measure	value
1164	24	STANDING	tBodyAccJerk-mean()-X	0.074617742
1165	25	STANDING	tBodyAccJerk-mean()-X	0.07523373
1166	26	STANDING	tBodyAccJerk-mean()-X	0.075357821
1167	27	STANDING	tBodyAccJerk-mean()-X	0.074969981
1168	28	STANDING	tBodyAccJerk-mean()-X	0.07531316
1169	29	STANDING	tBodyAccJerk-mean()-X	0.075305253
1170	30	STANDING	tBodyAccJerk-mean()-X	0.075241447
1171	1	WALKING	tBodyAccJerk-mean()-X	0.074041633
1172	2	WALKING	tBodyAccJerk-mean()-X	0.06180807
1173	3	WALKING	tBodyAccJerk-mean()-X	0.081474588
1174	4	WALKING	tBodyAccJerk-mean()-X	0.078352908
1175	5	WALKING	tBodyAccJerk-mean()-X	0.084588883
1176	6	WALKING	tBodyAccJerk-mean()-X	0.069958588
1177	7	WALKING	tBodyAccJerk-mean()-X	0.090146265
1178	8	WALKING	tBodyAccJerk-mean()-X	0.070339349
1179	9	WALKING	tBodyAccJerk-mean()-X	0.070435727
1180	10	WALKING	tBodyAccJerk-mean()-X	0.085794381
1181	11	WALKING	tBodyAccJerk-mean()-X	0.082970933
1182	12	WALKING	tBodyAccJerk-mean()-X	0.045764401
1183	13	WALKING	tBodyAccJerk-mean()-X	0.080959023
1184	14	WALKING	tBodyAccJerk-mean()-X	0.072087791
1185	15	WALKING	tBodyAccJerk-mean()-X	0.089777072
1186	16	WALKING	tBodyAccJerk-mean()-X	0.077022377
1187	17	WALKING	tBodyAccJerk-mean()-X	0.077318858
1188	18	WALKING	tBodyAccJerk-mean()-X	0.076752428
1189	19	WALKING	tBodyAccJerk-mean()-X	0.082224628
1190	20	WALKING	tBodyAccJerk-mean()-X	0.084123432
1191	21	WALKING	tBodyAccJerk-mean()-X	0.078225182
1192	22	WALKING	tBodyAccJerk-mean()-X	0.062777763
1193	23	WALKING	tBodyAccJerk-mean()-X	0.098731909
1194	24	WALKING	tBodyAccJerk-mean()-X	0.073193898
1195	25	WALKING	tBodyAccJerk-mean()-X	0.072172071
1196	26	WALKING	tBodyAccJerk-mean()-X	0.065230374
1197	27	WALKING	tBodyAccJerk-mean()-X	0.068433197
1198	28	WALKING	tBodyAccJerk-mean()-X	0.093112223
1199	29	WALKING	tBodyAccJerk-mean()-X	0.085374335
1200	30	WALKING	tBodyAccJerk-mean()-X	0.068868997
1201	1	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.054155316
1202	2	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.110040616
1203	3	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.072568929
1204	4	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.097186275
1205	5	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.1096506
1206	6	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.103681344
1207	7	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.096892618
1208	8	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.118938088
1209	9	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.130193044
1210	10	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.100959387
1211	11	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.089716866
1212	12	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.062150025
1213	13	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.101704538
1214	14	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.042863163
1215	15	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.071145716
1216	16	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.090785706
1217	17	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.118250858
1218	18	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.080904405
1219	19	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.073093031
1220	20	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.069503106
1221	21	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.090145288
1222	22	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.101584641
1223	23	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.057801061
1224	24	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.080261983
1225	25	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.110656929
1226	26	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.111470788
1227	27	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.093627322
1228	28	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.097265346
1229	29	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.063687197
1230	30	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-X	0.088393304
1231	1	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.10137273
1232	2	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.074450784
1233	3	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.042688099
1234	4	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.056097191
1235	5	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.079544348
1236	6	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.07210675
1237	7	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.072464994
1238	8	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.081381681
1239	9	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.069226625
1240	10	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.06488293
1241	11	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.096856168
1242	12	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.072866081
1243	13	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.069244207
1244	14	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.080330302
1245	15	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.072972433
1246	16	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.076252668
1247	17	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.076804417
1248	18	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.081240203
1249	19	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.083154508
1250	20	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.083645126
1251	21	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.104034223
1252	22	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.087717224
1253	23	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.072364998
1254	24	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.08623101
1255	25	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.074004144
1256	26	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.075564532
1257	27	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.073476353
1258	28	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.070683187
1259	29	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.106345193
1260	30	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	0.057984037
1261	1	LAYING	tBodyAccJerk-mean()-Y	0.003838204
1262	2	LAYING	tBodyAccJerk-mean()-Y	0.012254788
1263	3	LAYING	tBodyAccJerk-mean()-Y	0.013804101
1264	4	LAYING	tBodyAccJerk-mean()-Y	0.006933132
1265	5	LAYING	tBodyAccJerk-mean()-Y	0.007474608
1266	6	LAYING	tBodyAccJerk-mean()-Y	-0.001145292
1267	7	LAYING	tBodyAccJerk-mean()-Y	0.025062418
1268	8	LAYING	tBodyAccJerk-mean()-Y	0.023329916
1269	9	LAYING	tBodyAccJerk-mean()-Y	0.011561733
1270	10	LAYING	tBodyAccJerk-mean()-Y	0.015698997
1271	11	LAYING	tBodyAccJerk-mean()-Y	0.012219385
1272	12	LAYING	tBodyAccJerk-mean()-Y	0.007744083
1273	13	LAYING	tBodyAccJerk-mean()-Y	0.018344189
1274	14	LAYING	tBodyAccJerk-mean()-Y	-0.008315071
1275	15	LAYING	tBodyAccJerk-mean()-Y	0.012398427
1276	16	LAYING	tBodyAccJerk-mean()-Y	0.013280505
1277	17	LAYING	tBodyAccJerk-mean()-Y	0.007068671
1278	18	LAYING	tBodyAccJerk-mean()-Y	0.011701896
1279	19	LAYING	tBodyAccJerk-mean()-Y	0.011149573
1280	20	LAYING	tBodyAccJerk-mean()-Y	0.001108225
1281	21	LAYING	tBodyAccJerk-mean()-Y	0.011994367
1282	22	LAYING	tBodyAccJerk-mean()-Y	0.004598348
1283	23	LAYING	tBodyAccJerk-mean()-Y	0.01535144
1284	24	LAYING	tBodyAccJerk-mean()-Y	0.011981952
1285	25	LAYING	tBodyAccJerk-mean()-Y	0.028461931
1286	26	LAYING	tBodyAccJerk-mean()-Y	0.012442003
1287	27	LAYING	tBodyAccJerk-mean()-Y	0.012649109
1288	28	LAYING	tBodyAccJerk-mean()-Y	0.005939923
1289	29	LAYING	tBodyAccJerk-mean()-Y	0.011691206
1290	30	LAYING	tBodyAccJerk-mean()-Y	0.010768019
1291	1	SITTING	tBodyAccJerk-mean()-Y	-0.000619103
1292	2	SITTING	tBodyAccJerk-mean()-Y	0.011695451
1293	3	SITTING	tBodyAccJerk-mean()-Y	0.002725291
1294	4	SITTING	tBodyAccJerk-mean()-Y	-0.010858217
1295	5	SITTING	tBodyAccJerk-mean()-Y	-0.002787733
1296	6	SITTING	tBodyAccJerk-mean()-Y	2.56E-06
1297	7	SITTING	tBodyAccJerk-mean()-Y	0.011686342
1298	8	SITTING	tBodyAccJerk-mean()-Y	-0.006575163
1299	9	SITTING	tBodyAccJerk-mean()-Y	0.009817397
1300	10	SITTING	tBodyAccJerk-mean()-Y	0.008978755
1301	11	SITTING	tBodyAccJerk-mean()-Y	-0.000213839
1302	12	SITTING	tBodyAccJerk-mean()-Y	0.01059905
1303	13	SITTING	tBodyAccJerk-mean()-Y	-0.001123441
1304	14	SITTING	tBodyAccJerk-mean()-Y	-0.00436186
1305	15	SITTING	tBodyAccJerk-mean()-Y	-0.008984376
1306	16	SITTING	tBodyAccJerk-mean()-Y	0.009856429
1307	17	SITTING	tBodyAccJerk-mean()-Y	0.00560971
1308	18	SITTING	tBodyAccJerk-mean()-Y	0.006945603
1309	19	SITTING	tBodyAccJerk-mean()-Y	0.013792101
1310	20	SITTING	tBodyAccJerk-mean()-Y	0.005974303
1311	21	SITTING	tBodyAccJerk-mean()-Y	0.012102014
1312	22	SITTING	tBodyAccJerk-mean()-Y	-0.000842715
1313	23	SITTING	tBodyAccJerk-mean()-Y	0.010135139
1314	24	SITTING	tBodyAccJerk-mean()-Y	0.004767026
1315	25	SITTING	tBodyAccJerk-mean()-Y	0.004854159
1316	26	SITTING	tBodyAccJerk-mean()-Y	0.00692239
1317	27	SITTING	tBodyAccJerk-mean()-Y	0.004670724
1318	28	SITTING	tBodyAccJerk-mean()-Y	0.014833823
1319	29	SITTING	tBodyAccJerk-mean()-Y	0.005985314
1320	30	SITTING	tBodyAccJerk-mean()-Y	0.009756925
1321	1	STANDING	tBodyAccJerk-mean()-Y	0.007975731
1322	2	STANDING	tBodyAccJerk-mean()-Y	0.010329177
1323	3	STANDING	tBodyAccJerk-mean()-Y	0.007716636
1324	4	STANDING	tBodyAccJerk-mean()-Y	-0.006530157
1325	5	STANDING	tBodyAccJerk-mean()-Y	-0.002219902
1326	6	STANDING	tBodyAccJerk-mean()-Y	0.00871884
1327	7	STANDING	tBodyAccJerk-mean()-Y	0.006947004
1328	8	STANDING	tBodyAccJerk-mean()-Y	0.008149517
1329	9	STANDING	tBodyAccJerk-mean()-Y	0.01306998
1330	10	STANDING	tBodyAccJerk-mean()-Y	0.011900763
1331	11	STANDING	tBodyAccJerk-mean()-Y	0.012413097
1332	12	STANDING	tBodyAccJerk-mean()-Y	0.010048004
1333	13	STANDING	tBodyAccJerk-mean()-Y	0.007620352
1334	14	STANDING	tBodyAccJerk-mean()-Y	0.005795662
1335	15	STANDING	tBodyAccJerk-mean()-Y	0.006172555
1336	16	STANDING	tBodyAccJerk-mean()-Y	0.012076795
1337	17	STANDING	tBodyAccJerk-mean()-Y	0.006578535
1338	18	STANDING	tBodyAccJerk-mean()-Y	0.010469872
1339	19	STANDING	tBodyAccJerk-mean()-Y	0.009913383
1340	20	STANDING	tBodyAccJerk-mean()-Y	0.011693022
1341	21	STANDING	tBodyAccJerk-mean()-Y	0.010062117
1342	22	STANDING	tBodyAccJerk-mean()-Y	0.010728696
1343	23	STANDING	tBodyAccJerk-mean()-Y	0.010586152
1344	24	STANDING	tBodyAccJerk-mean()-Y	0.010983969
1345	25	STANDING	tBodyAccJerk-mean()-Y	0.00663214
1346	26	STANDING	tBodyAccJerk-mean()-Y	0.008173223
1347	27	STANDING	tBodyAccJerk-mean()-Y	0.012243331
1348	28	STANDING	tBodyAccJerk-mean()-Y	0.009073632
1349	29	STANDING	tBodyAccJerk-mean()-Y	0.011510498
1350	30	STANDING	tBodyAccJerk-mean()-Y	0.012086042
1351	1	WALKING	tBodyAccJerk-mean()-Y	0.02827211
1352	2	WALKING	tBodyAccJerk-mean()-Y	0.018249268
1353	3	WALKING	tBodyAccJerk-mean()-Y	0.010059149
1354	4	WALKING	tBodyAccJerk-mean()-Y	0.002956024
1355	5	WALKING	tBodyAccJerk-mean()-Y	-0.01631941
1356	6	WALKING	tBodyAccJerk-mean()-Y	-0.016483172
1357	7	WALKING	tBodyAccJerk-mean()-Y	0.018432272
1358	8	WALKING	tBodyAccJerk-mean()-Y	-0.006039475
1359	9	WALKING	tBodyAccJerk-mean()-Y	0.021225591
1360	10	WALKING	tBodyAccJerk-mean()-Y	0.004082488
1361	11	WALKING	tBodyAccJerk-mean()-Y	0.012768248
1362	12	WALKING	tBodyAccJerk-mean()-Y	0.019776695
1363	13	WALKING	tBodyAccJerk-mean()-Y	0.003083645
1364	14	WALKING	tBodyAccJerk-mean()-Y	0.024116024
1365	15	WALKING	tBodyAccJerk-mean()-Y	0.008905886
1366	16	WALKING	tBodyAccJerk-mean()-Y	0.009684447
1367	17	WALKING	tBodyAccJerk-mean()-Y	0.013009855
1368	18	WALKING	tBodyAccJerk-mean()-Y	0.028274548
1369	19	WALKING	tBodyAccJerk-mean()-Y	0.014411348
1370	20	WALKING	tBodyAccJerk-mean()-Y	-0.021061956
1371	21	WALKING	tBodyAccJerk-mean()-Y	0.002351976
1372	22	WALKING	tBodyAccJerk-mean()-Y	0.035674634
1373	23	WALKING	tBodyAccJerk-mean()-Y	0.014895593
1374	24	WALKING	tBodyAccJerk-mean()-Y	0.012125459
1375	25	WALKING	tBodyAccJerk-mean()-Y	0.003511152
1376	26	WALKING	tBodyAccJerk-mean()-Y	0.019671214
1377	27	WALKING	tBodyAccJerk-mean()-Y	0.001612303
1378	28	WALKING	tBodyAccJerk-mean()-Y	0.02264866
1379	29	WALKING	tBodyAccJerk-mean()-Y	0.022387045
1380	30	WALKING	tBodyAccJerk-mean()-Y	0.021965655
1381	1	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	0.029650449
1382	2	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	-0.003279591
1383	3	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	0.010970777
1384	4	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	0.005637802
1385	5	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	0.013761823
1386	6	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	0.009876858
1387	7	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	-0.019106108
1388	8	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	-0.038019385
1389	9	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	-0.020686597
1390	10	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	0.01078249
1391	11	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	0.02522742
1392	12	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	-0.011928915
1393	13	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	-0.007518682
1394	14	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	0.029133942
1395	15	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	0.0151159
1396	16	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	-0.014811453
1397	17	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	-0.011382618
1398	18	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	-0.000757069
1399	19	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	-0.038687211
1400	20	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	0.004364496
1401	21	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	-0.021399849
1402	22	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	0.021112611
1403	23	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	0.037500515
1404	24	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	-0.004473163
1405	25	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	-0.019541663
1406	26	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	-0.007131602
1407	27	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	0.015986947
1408	28	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	0.01434509
1409	29	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	0.000621017
1410	30	WALKING_DOWNSTAIRS	tBodyAccJerk-mean()-Y	-0.007561108
1411	1	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	0.019486308
1412	2	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	-0.009709855
1413	3	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	0.039724927
1414	4	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	0.023401899
1415	5	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	0.014013036
1416	6	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	0.003713434
1417	7	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	-0.000812387
1418	8	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	0.014120592
1419	9	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	0.001266122
1420	10	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	0.026631428
1421	11	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	-0.013262529
1422	12	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	-0.006894949
1423	13	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	-0.001280098
1424	14	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	-0.018313116
1425	15	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	-0.004173618
1426	16	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	0.017372933
1427	17	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	0.030835651
1428	18	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	0.021165469
1429	19	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	0.056818586
1430	20	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	0.006599826
1431	21	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	-0.015629007
1432	22	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	0.036708297
1433	23	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	0.039986287
1434	24	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	-0.015081605
1435	25	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	0.00925514
1436	26	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	0.002091717
1437	27	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	-0.014022937
1438	28	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	0.022298541
1439	29	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	-0.000689019
1440	30	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	-0.003587192
1441	1	LAYING	tBodyAccJerk-mean()-Z	0.010834236
1442	2	LAYING	tBodyAccJerk-mean()-Z	-0.001802649
1443	3	LAYING	tBodyAccJerk-mean()-Z	-0.004356259
1444	4	LAYING	tBodyAccJerk-mean()-Z	-0.006410543
1445	5	LAYING	tBodyAccJerk-mean()-Z	-0.003040672
1446	6	LAYING	tBodyAccJerk-mean()-Z	0.003288173
1447	7	LAYING	tBodyAccJerk-mean()-Z	-0.013165392
1448	8	LAYING	tBodyAccJerk-mean()-Z	-0.016921879
1449	9	LAYING	tBodyAccJerk-mean()-Z	-0.007053678
1450	10	LAYING	tBodyAccJerk-mean()-Z	0.007166896
1451	11	LAYING	tBodyAccJerk-mean()-Z	0.002776905
1452	12	LAYING	tBodyAccJerk-mean()-Z	-0.004371484
1453	13	LAYING	tBodyAccJerk-mean()-Z	-0.009883897
1454	14	LAYING	tBodyAccJerk-mean()-Z	-0.032360151
1455	15	LAYING	tBodyAccJerk-mean()-Z	-0.00443928
1456	16	LAYING	tBodyAccJerk-mean()-Z	-0.001541051
1457	17	LAYING	tBodyAccJerk-mean()-Z	-0.000143543
1458	18	LAYING	tBodyAccJerk-mean()-Z	-0.001213448
1459	19	LAYING	tBodyAccJerk-mean()-Z	-0.000988691
1460	20	LAYING	tBodyAccJerk-mean()-Z	-0.003098918
1461	21	LAYING	tBodyAccJerk-mean()-Z	-0.013905344
1462	22	LAYING	tBodyAccJerk-mean()-Z	-0.004674387
1463	23	LAYING	tBodyAccJerk-mean()-Z	-0.006282351
1464	24	LAYING	tBodyAccJerk-mean()-Z	-0.005892258
1465	25	LAYING	tBodyAccJerk-mean()-Z	-0.030717944
1466	26	LAYING	tBodyAccJerk-mean()-Z	-0.006147551
1467	27	LAYING	tBodyAccJerk-mean()-Z	-0.000685549
1468	28	LAYING	tBodyAccJerk-mean()-Z	0.006009719
1469	29	LAYING	tBodyAccJerk-mean()-Z	0.002415428
1470	30	LAYING	tBodyAccJerk-mean()-Z	-0.00037419
1471	1	SITTING	tBodyAccJerk-mean()-Z	-0.003367792
1472	2	SITTING	tBodyAccJerk-mean()-Z	0.007605469
1473	3	SITTING	tBodyAccJerk-mean()-Z	-0.004233484
1474	4	SITTING	tBodyAccJerk-mean()-Z	-0.012149995
1475	5	SITTING	tBodyAccJerk-mean()-Z	0.003386096
1476	6	SITTING	tBodyAccJerk-mean()-Z	0.006237278
1477	7	SITTING	tBodyAccJerk-mean()-Z	0.016200414
1478	8	SITTING	tBodyAccJerk-mean()-Z	-0.010680892
1479	9	SITTING	tBodyAccJerk-mean()-Z	-0.008674673
1480	10	SITTING	tBodyAccJerk-mean()-Z	-0.004995664
1481	11	SITTING	tBodyAccJerk-mean()-Z	0.008334008
1482	12	SITTING	tBodyAccJerk-mean()-Z	-0.00204576
1483	13	SITTING	tBodyAccJerk-mean()-Z	-0.023239725
1484	14	SITTING	tBodyAccJerk-mean()-Z	-0.010574451
1485	15	SITTING	tBodyAccJerk-mean()-Z	-0.002372075
1486	16	SITTING	tBodyAccJerk-mean()-Z	-0.011503058
1487	17	SITTING	tBodyAccJerk-mean()-Z	-0.001554484
1488	18	SITTING	tBodyAccJerk-mean()-Z	0.00278757
1489	19	SITTING	tBodyAccJerk-mean()-Z	0.001731068
1490	20	SITTING	tBodyAccJerk-mean()-Z	0.001601349
1491	21	SITTING	tBodyAccJerk-mean()-Z	-0.000175352
1492	22	SITTING	tBodyAccJerk-mean()-Z	-0.012685248
1493	23	SITTING	tBodyAccJerk-mean()-Z	-0.001488234
1494	24	SITTING	tBodyAccJerk-mean()-Z	-0.001133002
1495	25	SITTING	tBodyAccJerk-mean()-Z	0.002107608
1496	26	SITTING	tBodyAccJerk-mean()-Z	-0.00780238
1497	27	SITTING	tBodyAccJerk-mean()-Z	-0.006112854
1498	28	SITTING	tBodyAccJerk-mean()-Z	0.000257854
1499	29	SITTING	tBodyAccJerk-mean()-Z	0.003167701
1500	30	SITTING	tBodyAccJerk-mean()-Z	-0.002781618
1501	1	STANDING	tBodyAccJerk-mean()-Z	-0.00368525
1502	2	STANDING	tBodyAccJerk-mean()-Z	-0.008371588
1503	3	STANDING	tBodyAccJerk-mean()-Z	-0.008071779
1504	4	STANDING	tBodyAccJerk-mean()-Z	-0.021188989
1505	5	STANDING	tBodyAccJerk-mean()-Z	-0.012281222
1506	6	STANDING	tBodyAccJerk-mean()-Z	-0.004817122
1507	7	STANDING	tBodyAccJerk-mean()-Z	-0.010842029
1508	8	STANDING	tBodyAccJerk-mean()-Z	0.003221533
1509	9	STANDING	tBodyAccJerk-mean()-Z	-0.004700786
1510	10	STANDING	tBodyAccJerk-mean()-Z	-0.00485841
1511	11	STANDING	tBodyAccJerk-mean()-Z	-0.000745916
1512	12	STANDING	tBodyAccJerk-mean()-Z	-0.007881314
1513	13	STANDING	tBodyAccJerk-mean()-Z	-0.000704979
1514	14	STANDING	tBodyAccJerk-mean()-Z	-0.007207778
1515	15	STANDING	tBodyAccJerk-mean()-Z	-0.006587371
1516	16	STANDING	tBodyAccJerk-mean()-Z	-0.004763106
1517	17	STANDING	tBodyAccJerk-mean()-Z	-0.004035996
1518	18	STANDING	tBodyAccJerk-mean()-Z	-0.001816405
1519	19	STANDING	tBodyAccJerk-mean()-Z	0.001292163
1520	20	STANDING	tBodyAccJerk-mean()-Z	-0.006136819
1521	21	STANDING	tBodyAccJerk-mean()-Z	-0.003320937
1522	22	STANDING	tBodyAccJerk-mean()-Z	-0.006262917
1523	23	STANDING	tBodyAccJerk-mean()-Z	-0.005292609
1524	24	STANDING	tBodyAccJerk-mean()-Z	-0.003587749
1525	25	STANDING	tBodyAccJerk-mean()-Z	-0.006228088
1526	26	STANDING	tBodyAccJerk-mean()-Z	-0.002194978
1527	27	STANDING	tBodyAccJerk-mean()-Z	-0.001379503
1528	28	STANDING	tBodyAccJerk-mean()-Z	-0.002678101
1529	29	STANDING	tBodyAccJerk-mean()-Z	0.000332895
1530	30	STANDING	tBodyAccJerk-mean()-Z	0.001908415
1531	1	WALKING	tBodyAccJerk-mean()-Z	-0.004168406
1532	2	WALKING	tBodyAccJerk-mean()-Z	0.007895337
1533	3	WALKING	tBodyAccJerk-mean()-Z	-0.005622646
1534	4	WALKING	tBodyAccJerk-mean()-Z	-0.000767679
1535	5	WALKING	tBodyAccJerk-mean()-Z	8.32E-05
1536	6	WALKING	tBodyAccJerk-mean()-Z	-0.007389312
1537	7	WALKING	tBodyAccJerk-mean()-Z	-0.021039855
1538	8	WALKING	tBodyAccJerk-mean()-Z	-0.000673799
1539	9	WALKING	tBodyAccJerk-mean()-Z	0.004147627
1540	10	WALKING	tBodyAccJerk-mean()-Z	-0.01629532
1541	11	WALKING	tBodyAccJerk-mean()-Z	-0.013364828
1542	12	WALKING	tBodyAccJerk-mean()-Z	0.00502587
1543	13	WALKING	tBodyAccJerk-mean()-Z	0.00597249
1544	14	WALKING	tBodyAccJerk-mean()-Z	0.019972304
1545	15	WALKING	tBodyAccJerk-mean()-Z	0.000658706
1546	16	WALKING	tBodyAccJerk-mean()-Z	0.003608033
1547	17	WALKING	tBodyAccJerk-mean()-Z	0.024375333
1548	18	WALKING	tBodyAccJerk-mean()-Z	0.010685091
1549	19	WALKING	tBodyAccJerk-mean()-Z	-0.032752872
